sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,0.9831354986476972,1192290,1336653,2.7219391981838337,6.958441318806666,1.121081382114571,1.593819751681773,41.381974827723845,8.0,10,6.432882311042527,59,60,59,10.0,5.0,5.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,0.9848784446809952,4349721,4887660,1.999791663994417,7.468905706825794,1.1236723283337775,1.4449661173239217,46.44656627406834,8.0,9,6.815171771427947,75,76,75,11.0,5.0,5.0,3.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,0.9848692865996168,1986162,2225444,2.388423885771682,6.847208334466171,1.1204751276457448,1.6088495641285152,46.06613532332818,7.0,9,6.787203792676936,53,54,53,9.0,4.0,4.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,0.983923084035541,1585723,1780236,3.8631786610292966,6.84929019759441,1.1226658897335091,1.803829963603616,43.60861434726105,7.0,12,6.603681878108685,94,91,94,9.0,5.0,5.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,0.9797122913782776,719624,1083708,4.623242464550145,8.480213278045202,1.5059385261449398,1.8920244124492889,79.50814627759227,10.0,18,8.916734058924954,95,96,95,12.0,5.0,5.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,0.9810445571843522,2661041,3987860,3.5127995563262924,8.947002695561624,1.4986095661846497,1.7260312615731417,84.17445725043305,11.0,22,9.1746638767005,90,89,90,13.0,6.0,6.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,0.9801194575267674,1185763,1771912,3.715527504911312,8.279229491896778,1.4943234814406263,1.8038047382624145,79.48601121407313,10.0,18,8.915492763390766,79,79,79,12.0,5.0,5.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,0.9807864910950382,995305,1513590,4.843195858535374,8.634224684895585,1.5207313544404524,1.938682866976518,86.18533471682926,10.0,24,9.283605695893662,109,108,109,12.0,5.0,5.0,2.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:18024675-38818835,0.9928037328220248,889572,1319658,3.220034467446343,13.839441888908372,1.4834768669392324,1.6020279879090975,205.59100309599333,18.0,16,14.338444932976286,151,152,151,21.0,8.0,8.0,3.0,1,0
H3K36me3_TDH_immune/samples/monocyte/McGill0079/problems/chr10:51448845-125869472,0.9940299429556712,3436976,5116555,1.710106212204289,15.923956117237944,1.4886797256308235,1.3556514793012764,250.1405072641641,20.0,17,15.815830906536783,169,165,169,24.0,10.0,10.0,4.0,1,0
