sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:18024675-38818835,1.0837488902076706,1155971,0.9738017059788238,1066642,5.649954717702847,3.347190594824262,24.17642990132852,1.6359004488261997,4.916953314942956,7,45,6.0,44,44,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr10:51448845-125869472,1.085576574510242,4321232,0.9747069392035914,3980588,6.034376328321343,1.805716025480153,25.15298343158978,1.3320983588763515,5.0152750105642045,8,44,7.0,43,43,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr11:96437584-134946516,1.0841412171272238,2070520,0.974930506516958,1909826,5.74096488371192,2.478409925501395,25.275083813683,1.4939589433868028,5.027433123740483,8,53,6.0,52,52,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:37856694-109373470,1.088304719141555,4451976,0.9763037875184876,4090745,6.225668185134982,2.5158423200607896,27.04490140285557,1.431361490446193,5.200471267381022,10,87,7.0,89,89,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr12:7239876-34856694,1.0875726092328373,1721771,0.9759092791092222,1583133,6.123535419955241,3.0953851165086466,26.552373557567872,1.555014718807799,5.152899529155199,8,70,6.0,69,69,8.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr13:19020000-86760324,1.0853412977171784,3780069,0.9740038832125456,3482840,5.667901482698028,2.8638358256341188,24.4789538360524,1.5670912014159395,4.947621027933769,42,63,6.0,65,65,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr14:19000000-107289540,1.086721260334756,5326348,0.9746988747413696,4901302,6.1415956413214285,3.8690136520004703,25.227472863360823,1.427436017436331,5.022695776508948,14,105,7.0,113,113,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr15:29209443-82829645,1.089464241532067,3505020,0.9763550538921608,3217197,6.6740936287084685,1.4593202635249938,27.18460403269337,1.175142996446359,5.213885694248904,8,61,7.0,62,62,10.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr16:46385801-88389383,1.146456065135019,2522185,0.999866374289506,2199985,14.142665063625431,268.19399913439827,7501.436599795212,15.023182736456771,86.61083419408459,44,2223,7.0,2556,2556,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:34725848-62410760,1.0905895193877204,1992374,0.9791759827891744,1826879,7.315472453293294,4.981931277827968,30.960810081561743,1.4169010618251932,5.5642438912723575,11,84,7.0,83,83,10.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr17:62460760-77546461,1.0822626306620209,874676,0.9739717921407662,808193,6.052968783446528,1.89958915228622,24.22937523506072,1.315383577693509,4.922334327842911,6,40,7.0,39,39,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr18:18510898-52059136,1.089099192498717,1776409,0.99614831016187,1631082,5.8361327020959095,2777.2539553643546,174.74256866592165,43.53055716848358,13.219022984544722,57,630,6.0,1154,1154,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr1:3995268-13052998,1.0848267957055495,542306,0.973994622985975,499902,6.5200179235130085,0.8930844333694892,24.42682201839441,1.0272475848774556,4.942349847834976,6,36,6.0,36,36,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr2:21178113-87668206,1.089240158810081,4350374,0.9756932805663058,3993954,6.477049310032114,1.706060563647438,26.42924549154917,1.2663441231347652,5.140938191765116,8,47,6.0,46,46,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr3:60000-66170270,1.0886774081631891,4377414,0.9764384288187002,4020856,6.537634772297242,1.5796472779803934,27.223992342853595,1.2584915155113552,5.217661578030295,12,48,6.0,47,47,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr4:75452279-191044276,1.0847253745278616,6389846,0.9733022037441806,5890751,5.545038145390969,3.317631342763019,23.770097012622585,1.6516175350362514,4.875458646386265,9,56,5.0,55,55,7.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr6:95830543-157559467,1.0879603230961137,3997250,0.9746556994320608,3674078,6.161740986446123,2.561992710510053,25.26231032126848,1.464366652082629,5.026162584046449,7,49,5.0,48,48,8.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr7:100606043-130154523,1.0864402000248738,1764594,0.975466320328872,1624199,6.025498107066929,2.9327215585117314,25.99195420105167,1.516357390777824,5.098230497050096,6,58,6.0,57,57,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr8:86726451-142766515,1.0835736986614335,3187176,0.972249236489914,2941357,5.593413856257503,4.104503783858004,22.79987860429939,1.6552447468725835,4.774921842742495,8,76,6.0,75,75,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/bcell/McGill0322/problems/chr9:92678796-133073060,1.0881259214406065,2645208,0.9753063043656652,2430977,6.466899522290832,1.90617316989602,25.946544442999866,1.2766510404481803,5.093775067962843,9,55,6.0,54,54,9.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:18024675-38818835,1.121081382114571,1336653,0.9831354986476972,1192290,6.958441318806666,2.7219391981838337,41.381974827723845,1.593819751681773,6.432882311042527,10,60,8.0,59,59,10.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr10:51448845-125869472,1.1236723283337775,4887660,0.9848784446809952,4349721,7.468905706825794,1.999791663994417,46.44656627406834,1.4449661173239217,6.815171771427947,9,76,8.0,75,75,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr11:96437584-134946516,1.1204751276457448,2225444,0.9848692865996168,1986162,6.847208334466171,2.388423885771682,46.06613532332818,1.6088495641285152,6.787203792676936,9,54,7.0,53,53,9.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:37856694-109373470,1.1259202907483843,4858891,0.9863573337799452,4315485,7.6567665048076865,3.290040883773232,51.78745865771394,1.5693729962162102,7.196350370688878,16,114,8.0,154,154,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr12:7239876-34856694,1.1226658897335091,1780236,0.983923084035541,1585723,6.84929019759441,3.8631786610292966,43.60861434726105,1.803829963603616,6.603681878108685,12,91,7.0,94,94,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr13:19020000-86760324,1.1210325432712402,4159839,0.983546199943595,3710722,6.600027703503523,3.517930651679834,42.39840891264614,1.812822471206504,6.511406062644699,10,57,7.0,56,56,9.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr14:19000000-107289540,1.1245325793952057,5809468,0.9858015304769135,5166119,7.606750057441572,2.295718606463694,49.58936696090372,1.4724795583508226,7.0419718091528685,16,108,8.0,121,121,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr15:29209443-82829645,1.1317154084483687,4135966,0.98738730114389,3654600,8.974777540633722,1.124576449023368,56.81494419201568,1.1565722958881344,7.537568851560541,10,85,10.0,90,90,13.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr16:46385801-88389383,1.1843701460523806,2906667,0.9998669743578312,2454189,15.826790846181773,306.18994483822246,8205.488896277853,15.864274059344384,90.58415367092556,53,2421,9.0,2937,2937,12.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:34725848-62410760,1.1313965222929483,2227653,0.9881768145900752,1968942,9.61602779563847,2.2694442948332814,60.55153717988177,1.1761377456028248,7.781486823215841,9,106,11.0,105,105,14.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr17:62460760-77546461,1.1221981733990103,1033852,0.9856773629716165,921275,8.127708881712843,1.580290505312588,48.871639208186544,1.29241078942918,6.99082535958284,10,55,9.0,54,54,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr18:18510898-52059136,1.1230692403193252,1943076,0.9957446250791768,1730149,6.628061513777137,2262.082350756442,170.5065617103899,37.28090461688627,13.057816115659996,65,617,6.0,1095,1095,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr1:3995268-13052998,1.1227776545600598,602414,0.9853431657037252,536540,8.573791329630597,0.6926077446485901,47.82898470510542,1.015535019938633,6.915850251784333,8,51,10.0,50,50,13.0,3.0,7.0,7.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr2:21178113-87668206,1.1262754065276308,4614160,0.985203437019834,4096832,7.7725349733647855,1.549294564481519,47.77505949137995,1.3382934333210672,6.911950483863433,8,64,8.0,63,63,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr3:60000-66170270,1.123996823813083,4485814,0.9848688629819592,3990950,7.609468171738558,1.805493177945983,46.44690883779416,1.3853102777409712,6.815196903816805,11,69,8.0,68,68,11.0,3.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr4:75452279-191044276,1.1195637738459954,6912648,0.9821598262190788,6174413,6.272495053375924,4.365172930577567,38.95960391541349,1.939551276074488,6.241762885228298,10,75,6.0,74,74,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr6:95830543-157559467,1.1199179714667449,3916165,0.9812562620896508,3496833,6.470860061089563,3.692980605499305,37.10050521802866,1.792207886008249,6.091018405655056,9,61,6.0,60,60,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr7:100606043-130154523,1.1219725597973118,1881171,0.982697971302388,1676665,6.831588301777636,2.668280591362495,40.40524230467803,1.6091161996047447,6.356511803235956,8,51,7.0,50,50,9.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr8:86726451-142766515,1.1195845485769305,3423338,0.982552599137924,3057687,6.4944368079532016,3.674458539229004,39.83750498900695,1.812791779931974,6.311695888507854,8,68,6.0,67,67,8.0,2.0,4.0,4.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0001/problems/chr9:92678796-133073060,1.1252265772854289,2872322,0.9854816408046206,2552662,8.027335385570044,2.0584261604567886,48.561797289051846,1.362194969605225,6.968629512971101,9,72,9.0,71,71,12.0,3.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:18024675-38818835,1.5059385261449398,1083708,0.9797122913782776,719624,8.480213278045202,4.623242464550145,79.50814627759227,1.8920244124492889,8.916734058924954,18,96,10.0,95,95,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr10:51448845-125869472,1.4986095661846497,3987860,0.9810445571843522,2661041,8.947002695561624,3.5127995563262924,84.17445725043305,1.7260312615731417,9.1746638767005,22,89,11.0,90,90,13.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr11:96437584-134946516,1.4943234814406263,1771912,0.9801194575267674,1185763,8.279229491896778,3.715527504911312,79.48601121407313,1.8038047382624145,8.915492763390766,18,79,10.0,79,79,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:37856694-109373470,1.5167107357969551,4140320,0.9840306938380764,2729803,9.60597999196279,4.326551491774746,102.82681433840295,1.8211674895213543,10.140355730367794,23,134,12.0,166,166,14.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr12:7239876-34856694,1.5207313544404524,1513590,0.9807864910950382,995305,8.634224684895585,4.843195858535374,86.18533471682926,1.938682866976518,9.283605695893662,24,108,10.0,109,109,12.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr13:19020000-86760324,1.528101707685357,3460070,0.9810394401405086,2264294,8.46349237334021,4.780270947801107,88.14342467610203,1.981819189339983,9.388472968278816,24,95,9.0,94,94,11.0,2.0,5.0,5.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr14:19000000-107289540,1.5000361764226615,4768414,0.9819663567787112,3178867,9.18048317214907,3.487457334949752,88.79329428651043,1.7094075569139904,9.423019382687825,28,100,11.0,99,99,13.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr15:29209443-82829645,1.501339500952582,3468938,0.9838581281218488,2310563,10.64262692685722,2.4217678958085824,99.41350582528791,1.4532842968411,9.970632167785949,25,94,13.0,93,93,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr16:46385801-88389383,1.542155015731911,2228158,0.9997147523378126,1444835,18.162626874348973,188.18864020004764,6972.488258331194,12.390662079856776,83.50142668440579,44,1873,12.0,2120,2120,14.0,2.0,6.0,6.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:34725848-62410760,1.469099957860126,1837252,0.9841441205985012,1250598,10.742073791897957,2.154263521291519,95.91840607970124,1.3930363179631424,9.79379426370093,26,86,13.0,86,86,16.0,3.0,8.0,8.0,1,0
H3K36me3_AM_immune/samples/monocyte/McGill0002/problems/chr17:62460760-77546461,1.4492578655889303,811496,0.9831123970458516,559940,9.23620030717577,4.303196217282672,87.1463167835367,1.8140576384585587,9.33521916098046,24,84,10.0,83,83,13.0,3.0,6.0,6.0,1,0
