sequenceID,X1.lower,X1.upper,X2.lower,X2.upper,X3.lower,X3.upper,X4.lower,X4.upper,X5.lower,X5.upper,X6.lower,X6.upper,X7.lower,X7.upper,X8.lower,X8.upper,X9.lower,X9.upper,X10.lower,X10.upper,X11.lower,X11.upper,X12.lower,X12.upper,X13.lower,X13.upper,X14.lower,X14.upper,X15.lower,X15.upper,X16.lower,X16.upper,X17.lower,X17.upper,X18.lower,X18.upper,X19.lower,X19.upper,X20.lower,X20.upper
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00RMQ_WTSI/problems/chr5:49600000-91636128,7.703085352505809,9.74973785149814,7.552756977482204,9.662145197492123,7.558403995595901,9.626080940790468,7.324814739569508,10.254780776366147,7.315010987351343,10.255227456439854,7.547908183254143,9.639175345936037,7.4710427984691705,10.05240247785423,7.649761955813119,9.707078874051149,1.4577375270692319,9.605740461698815,1.0994016252456715,1.0994016252456715,7.370264115268583,10.431652482360732,7.382555564968698,10.430586226730156,7.382555564968698,10.430586226730156,7.57993496645083,9.341175299181444,7.550998372086431,9.741242712766413,7.641033318494237,9.746001084850377,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S2P_WTSI/problems/chr5:49600000-91636128,7.7964680969703295,10.683281977762817,7.517769272042642,9.671983930808437,7.866747338976044,9.766472262055734,7.312519906603255,10.581456084931006,7.199745574444023,10.584374673617248,7.766172443947874,9.718246678148942,7.398373740803436,10.296814258443192,7.566267095006424,9.879031967953779,1.4810183485156763,9.593679731391148,1.099554470563112,1.099554470563112,7.234610286720454,10.908633155289863,7.256374463721841,10.891568904351516,7.256374463721841,10.891568904351516,7.845624129345006,10.09869889825726,7.550998372086431,9.741242712766413,7.62297194390743,9.876824525753818,7.869655159475997,9.84967292315326,7.869655159475997,9.84967292315326,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S4L_WTSI/problems/chr5:49600000-91636128,7.726350515360082,9.982291073825763,7.559696677628381,9.660193697004843,7.648106050298215,9.675368502952825,7.30956736525751,10.691337829605004,7.160955533910965,10.695280141277493,7.6235242325113735,9.671897286779068,7.355748487208984,10.44018104218867,7.622305828556364,9.763623648008434,1.451772994096904,9.608863679017986,1.0997221683481473,1.0997221683481473,7.204648894863567,11.013983207350975,7.223777615288327,11.010658036289897,7.223777615288327,11.010658036289897,7.845624129345006,10.09869889825726,7.548792422035911,9.96822612642142,7.595736220028641,10.074099596444285,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S6H_WTSI/problems/chr5:49600000-91636128,7.658827026594963,9.307392750830331,7.227396064254208,9.753632285495314,7.678326450201739,9.689831652570522,7.4376916929880466,9.24423477330646,7.671043938467847,9.242424491467858,7.667365903966994,9.687734949326078,7.7722218835988315,9.039498302804532,7.644795303191586,9.717307520325448,1.7357874114161143,9.473571470813567,1.0949570319129476,1.0949570319129476,7.399219076912232,10.329843123658065,7.397123485546672,10.377365311253016,7.397123485546672,10.377365311253016,7.57993496645083,9.341175299181444,7.584424779190731,9.39628777211444,7.697132159352407,9.3396596747466,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00S7F_WTSI/problems/chr5:49600000-91636128,7.684327865951104,9.562255766420094,7.544348422750772,9.66450974347947,7.590992988091092,9.645352080163638,7.3240117393564494,10.271858807104593,7.3089871923293686,10.272413552851049,7.5718770584984,9.650498330629222,7.4753774913724556,10.03782357115233,7.628384084829122,9.751105759559323,1.4584750801386106,9.605355208769652,1.0993634515797277,1.0993634515797277,7.365268087829463,10.449219189120413,7.38019414668679,10.439213198174912,7.38019414668679,10.439213198174912,7.57993496645083,9.341175299181444,7.550998372086431,9.741242712766413,7.641033318494237,9.746001084850377,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SE1_WTSI/problems/chr5:49600000-91636128,7.703085352505809,9.74973785149814,7.396189057713855,9.706171705457677,7.875995607778319,9.769805446185542,7.336185072027321,10.050749445278768,7.386959523653786,10.05008529812477,7.788940195420128,9.724521104302864,7.576286241414891,9.698442771069494,7.581695686812964,9.847257889558932,1.5667741040370533,9.550941886813007,1.0987670531706293,1.0987670531706293,7.29635069966389,10.691543034137794,7.298238084213608,10.73862563041439,7.298238084213608,10.73862563041439,7.57993496645083,9.341175299181444,7.556339411288565,9.59179997500423,7.6643173433890865,9.577348043891561,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SHW_WTSI/problems/chr5:49600000-91636128,7.691142028130685,9.630362295571103,7.41545880873673,9.700753272465136,7.855204124826239,9.76226757538917,7.3380049589520295,10.023199512694589,7.396672073893569,10.022410840634024,7.637495869019096,9.677140576301817,7.564663323086279,9.737532862789521,7.412104967079358,10.196511302598083,1.5558566124453947,9.556241972362159,1.0974246619175547,1.0974246619175547,7.302411853102967,10.670231036749101,7.294668075154732,10.751668147520832,7.294668075154732,10.751668147520832,7.57993496645083,9.341175299181444,7.556339411288565,9.59179997500423,7.6643173433890865,9.577348043891561,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SJS_WTSI/problems/chr5:49600000-91636128,7.703085352505809,9.74973785149814,7.367880262183462,9.714131726101755,8.084865024795409,9.838303111429251,7.324240783961609,10.266942712353455,7.310721230054696,10.267466111192931,8.016984303502422,9.777513632152461,7.53501984713148,9.837230263968195,7.621100181081147,9.766106621188555,1.5883965576429344,9.540560283346394,1.0993309209278783,1.0993309209278783,7.216926481377413,10.97081279422855,7.23088455846073,10.98469351269523,7.23088455846073,10.98469351269523,7.845624129345006,10.09869889825726,7.584424779190731,9.39628777211444,7.6643173433890865,9.577348043891561,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SMM_WTSI/problems/chr5:49600000-91636128,7.691142028130685,9.630362295571103,7.480404995263598,9.682490792290423,7.65573381034362,9.679098621727285,7.350061704059658,9.864818359978926,7.45249672979844,9.863431205049181,7.659182153803222,9.684909322608638,7.600563924414928,9.61679281609031,7.666283792211743,9.673052645018288,1.5065834800515092,9.580667511971342,1.098756079462306,1.098756079462306,7.440286157423543,10.18544656999984,7.4514534165964506,10.178883264914475,7.4514534165964506,10.178883264914475,7.57993496645083,9.341175299181444,7.584424779190731,9.39628777211444,7.697132159352407,9.3396596747466,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
H3K27ac-H3K4me3_TDHAM_BP/samples/GR10_H3K27ac/S00SPG_WTSI/problems/chr5:49600000-91636128,7.684327865951104,9.562255766420094,7.390735096909339,9.707705287876706,7.692292690137478,9.696250770195466,7.426424375367605,9.29830311264783,7.652015046602173,9.296408215555488,7.693310083556902,9.696350247167194,7.743804834509319,9.135063845285003,7.660700988271401,9.684550278349889,1.5768691090209646,9.546076061358463,1.095826636769564,1.095826636769564,7.4910027730829825,10.007122066848751,7.49625113665752,10.015226447701934,7.49625113665752,10.015226447701934,7.57993496645083,9.341175299181444,7.584424779190731,9.39628777211444,7.697132159352407,9.3396596747466,7.616014433287091,9.541801605760542,7.616014433287091,9.541801605760542,0,0,1,1
