sequenceID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr15:77912000-82829645,0.9773911381064956,383,110675,119.37217077027331,1965656,22.284714686851675,971,3.15436732389852,110.0,50.0,17.76077488841101,11507.544687472082,107.2732244666491,1661,1661,160.0,99.0,99.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:148734147-148954460,0.9953968755915068,516,7224,425.8603266888151,231897,23.68178814007012,1422,3.8788289704213113,434.25,127.0,32.105357884535515,253087.3961890406,503.07792258162215,5406,5406,561.25,265.5,265.5,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149004460-149459645,0.972440710734484,1447,9406,149.11556453327665,196543,124.68651033667123,667,7.989827978280268,144.0,50.0,20.897713981924507,30325.241482176523,174.14144102475012,4505,4505,194.0,108.0,108.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr1:149509645-205922707,0.955198778924992,65474,1140474,121.60847419581684,20603181,78051.172422061,2173,243.89832150698672,115.0,35.0,18.06547020402938,120006.47953301908,346.4195137878625,139978,139978,150.0,75.0,75.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr20:34947085-61091437,0.966428639049414,30223,693889,182.42187150970832,14368169,10875.223365081352,2309,66.63934605695327,185.0,58.0,20.70675526886184,64295.315888721714,253.5652103280765,55857,55857,243.0,125.0,125.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr4:9324642-31820917,0.9368394812396954,61545,355202,74.51320375448337,5931713,24369.97159366832,1445,144.76857609952802,64.0,25.0,16.699595440328153,314349.75001991657,560.6690200286766,124693,124693,89.0,50.0,50.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr7:282484-50370631,0.9493993641982752,156057,1203272,153.26190919426364,23831574,84068.13801775161,3440,264.3111025653664,125.0,50.0,19.805658077025043,906042.8996933708,951.862857607844,424983,424983,175.0,95.0,95.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr8:7524649-12091854,0.9939485682261004,488,129453,249.6344619282674,3002615,23.94257282467513,2341,3.9857477421930056,233.0,82.0,23.19481352161419,82878.43761626571,287.8861539155117,3763,3763,315.0,176.0,176.0,0,1
H3K27me3_RL_cancer/samples/BT245/C19-Rx/problems/chr9:10000-39663686,0.9856206194073984,1173,706335,103.0787798990564,12045243,40.98745303979808,1864,4.89066248756111,99.0,26.0,17.05318305504195,17757.43133681967,133.25701233638577,2722,2722,125.0,68.0,68.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr15:77912000-82829645,0.9950779020744124,478,88526,149.78014368660055,1774783,75.562535907588,1982,7.314552211531609,122.0,33.0,20.04838181304716,82303.47775723031,286.8858270414039,5280,5280,155.0,75.0,75.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:148734147-148954460,0.9976251453090956,3391,7131,1041.3469359136166,421489,55.71047068247935,2338,6.474580926231457,975.0,141.0,59.114866760168304,4903297.821018167,2214.339138663761,29914,29914,1116.0,349.0,349.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149004460-149459645,0.9817615820051644,1441,8094,164.53978255497898,182723,38.1770538011308,859,4.629505142784754,138.0,46.0,22.57790683306561,54981.86640598189,234.4821238516529,4318,4318,184.0,94.0,94.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr1:149509645-205922707,0.9847455162713108,40590,868525,145.79698454275928,17179976,6427.800442369575,5376,47.555826495284805,90.0,25.0,19.780657759601347,233727.4119334533,483.4536295586716,99194,99194,115.0,50.0,50.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr20:34947085-61091437,0.994607501828894,17600,566183,250.22860276624343,13631497,168.57130195140988,5423,8.284514605824196,184.0,45.0,24.07617515215956,291011.00963242515,539.4543628820005,36969,36969,229.0,99.0,99.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr4:9324642-31820917,0.9589301488110634,37258,250825,87.22665204824081,4531230,7488.761864286523,2730,69.0243408265508,55.0,20.0,18.0653765189934,331559.6878813159,575.8121984478237,87607,87607,75.0,37.0,37.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr7:282484-50370631,0.979891263626356,97672,1031072,240.6197995872257,24069102,10384.813292248691,9528,62.17959550139791,120.0,36.0,23.343787188273165,1015899.2480797808,1007.9182745043274,255503,255503,156.0,75.0,75.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr8:7524649-12091854,0.998544588924934,889,115872,411.1470070422535,3381068,38.56808852015426,4844,5.556114887250422,296.0,62.0,29.179587644880947,807056.905429112,898.3634595357895,12142,12142,358.0,150.0,150.0,0,1
H3K27me3_RL_cancer/samples/BT245/C24-Rx/problems/chr9:10000-39663686,0.9970275131021096,1222,563704,154.2398013851241,11269440,88.114414601377,4671,8.01227856343114,100.0,25.0,19.99180419476213,159237.85687411865,399.04618388617456,8180,8180,125.0,51.0,51.0,0,1
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr15:77912000-82829645,0.986168408438952,601,122419,105.9218830410312,2090534,270.9334928196521,1154,12.009004768992495,78.0,50.0,17.077014818082308,17803.69065232947,133.43047122876197,4801,4801,128.0,77.0,77.0,0,1
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:148734147-148954460,0.9968302888438824,1732,7931,519.1861051569789,286320,90.8801663046098,1554,8.41277981684547,426.0,157.0,36.10592686002522,901229.8864340924,949.3312838172418,15376,15376,583.0,306.0,306.0,0,1
H3K27me3_RL_cancer/samples/BT245/p6/problems/chr1:149004460-149459645,0.9725144927071692,4676,9512,177.52270815811607,230595,382.83555261238376,794,17.290754491894432,162.0,50.0,24.24508463883924,169710.01546415457,411.9587545667097,13467,13467,212.0,107.0,107.0,0,1
